flight_id,flight_duration,passenger_count,adult_passengers,child_passengers,business_class_ratio,is_international,total_food_demand
1,2.45,152,116,36,0.931922435685587,0,203
2,8.59,229,162,67,0.62793749329946,1,690
3,1.9,142,112,30,0.9940619833831104,0,155
4,2.86,64,56,8,0.537356404772887,0,77
5,6.85,156,153,3,0.7101108919062131,0,300
6,5.94,121,115,6,0.05620955786622217,1,239
7,4.42,238,199,39,0.6317361768234109,0,438
8,7.59,70,61,9,0.7646496115903573,0,135
9,2.59,152,124,28,0.7785142948525573,0,195
10,3.73,171,156,15,0.7701116522302854,0,221
11,8.46,260,197,63,0.22628262729366766,1,704
12,6.29,264,249,15,0.9753984776052259,0,547
13,7.31,124,102,22,0.9951821206249387,0,255
14,11.24,252,209,43,0.07559587516160127,1,658
15,6.44,137,136,1,0.9364464228117573,0,282
16,2.6,166,131,35,0.28944919430436933,0,180
17,1.17,149,141,8,0.6892840817509648,0,151
18,3.69,153,108,45,0.33811092073613214,0,167
19,1.99,201,141,60,0.9677543233731215,0,216
20,5.97,180,150,30,0.10150385830353548,0,274
21,5.63,199,151,48,0.497746816956376,0,347
22,1.31,102,94,8,0.42804779194207465,0,95
23,6.86,51,49,2,0.3260234522779849,0,86
24,5.24,137,125,12,0.6455339908801486,1,318
25,4.03,285,232,53,0.13105574342166748,0,438
26,5.68,207,182,25,0.7166624181336969,0,394
27,4.01,87,62,25,0.9805921238047873,0,176
28,4.09,179,132,47,0.8045587144686301,0,344
29,1.46,241,222,19,0.8600167529095454,0,257
30,3.81,237,191,46,0.3596367431790025,0,264
31,6.35,70,70,0,0.3248866064812187,0,119
32,7.41,210,175,35,0.5170483546901332,0,372
33,3.89,253,229,24,0.04572661476227269,0,254
34,3.97,107,74,33,0.9453581344565326,0,143
35,5.92,71,65,6,0.1437851730161922,0,111
36,11.48,285,228,57,0.9030130391680924,1,930
37,2.87,138,108,30,0.0835822220003557,0,138
38,4.08,98,88,10,0.8226249276785601,0,193
39,6.57,268,205,63,0.15196252587821513,0,412
40,8.49,108,93,15,0.0381316140914727,1,280
41,1.77,219,209,10,0.7194894502594087,0,224
42,5.39,269,212,57,0.2802653001744283,0,436
43,2.31,237,195,42,0.7144961527843495,0,298
44,7.59,257,233,24,0.5550852504728198,1,581
45,4.7,64,53,11,0.10880739023006558,0,98
46,7.13,239,176,63,0.9321300733011637,0,478
47,7.16,239,238,1,0.45231417476347757,1,531
48,5.51,224,209,15,0.734447277798688,1,532
49,5.08,239,218,21,0.5010205720156251,1,533
50,7.12,100,89,11,0.6043614749612047,0,184
51,2.2,157,140,17,0.30277359235669243,0,173
52,3.98,104,85,19,0.20036030400345028,0,109
53,2.31,293,254,39,0.5425702034080678,0,351
54,6.41,113,106,7,0.440218972971002,0,198
55,4.32,298,260,38,0.3901132134339331,0,508
56,3.46,180,148,32,0.672567195094623,0,224
57,3.53,278,272,6,0.6905066320111359,0,354
58,6.97,100,91,9,0.04592005609126304,0,151
59,4.88,184,157,27,0.33874449424367215,0,307
60,6.03,70,52,18,0.41176455022637737,0,118
61,7.28,122,97,25,0.0968921611641681,0,184
62,7.31,216,209,7,0.23590086669828836,0,353
